# Address	TypeOfHouse	Price$	Bedrooms	Bathrooms	SqftHome	AcresLot	CarSpace
27556 Valley Rim Cir San Juan Capistrano CA 92675	House	$1,589,900	4 bed	3 ba	3,002 sqft	0.35 acres lot	3 car
32071 Paseo Carolina Unit 37 San Juan Capistrano CA 92675	Condo/Townhome	$288,000	2 bed	1 ba	758 sqft	No lot	No car
32220 Via Angelica San Juan Capistrano CA 92675	House	$2,659,000	4 bed	4+ ba	4,037 sqft	0.36 acres lot	3 car
26000 Avenida Aeropuerto Spc 59 San Juan Capistrano CA 92675	Mobile Home	$225,000	2 bed	2 ba	1,060 sqft	No lot	No car
29801 Monarch Dr San Juan Capistrano CA 92675	House	$1,298,000	5 bed	3+ ba	4,071 sqft	0.6 acres lot	4 car
26000 Avenida Aeropuerto Spc 113 San Juan Capistrano CA 92675	Mobile Home	$244,000	2 bed	2 ba	1,440 sqft	No lot	No car
27121 Via Chiquero Apt A San Juan Capistrano CA 92675	House	$649,900	3 bed	2 ba	1,680 sqft	1,722 sqft lot	2 car
32005 Avenida Evita San Juan Capistrano CA 92675	House	$1,020,000	4 bed	3+ ba	2,450 sqft	0.29 acres lot	3 car
26000 Avenida Aeropuerto Spc 12 San Juan Capistrano CA 92675	Mobile Home	$205,000	2 bed	2 ba	1,450 sqft	No lot	yes car
33491 Via De Agua San Juan Capistrano CA 92675	House	$1,330,000	4 bed	3 ba	3,097 sqft	0.25 acres lot	3 car
33470 Paseo El Lazo San Juan Capistrano CA 92675	Condo/Townhome	$699,990	3 bed	2+ ba	1,836 sqft	510.0 acres lot	2 car
32866 Via Del Amo San Juan Capistrano CA 92675	House	$785,000	3 bed	2 ba	1,448 sqft	7,200 sqft lot	2 car
27541 Paseo Tamara San Juan Capistrano CA 92675	Condo/Townhome	$639,900	3 bed	2 ba	1,692 sqft	No lot	2 car
32172 Via Los Coyotes San Juan Capistrano CA 92675	House	$1,549,000	5 bed	4+ ba	4,000 sqft	0.33 acres lot	3 car
32221 Alipaz St Apt 209 San Juan Capistrano CA 92675	Condo/Townhome	$345,000	2 bed	2 ba	1,097 sqft	No lot	1 car
25721 Paseo Colonial San Juan Capistrano CA 92675	House	$645,000	3 bed	1+ ba	1,210 sqft	2,233 sqft lot	2 car
